id	stage	goals	team	opponent	year	host	GDP	max1	max2	odds	population	age	market_value	FIFA_rank	FIFA_points	UEFA_rank	UEFA_points	CL_players	EL_players	vicinity	age_coach	nationality_coach	foreigners	host_opponent	GDP_opponent	max1_opponent	max2_opponent	odds_opponent	population_opponent	age_opponent	market_value_opponent	FIFA_rank_opponent	FIFA_points_opponent	UEFA_rank_opponent	UEFA_points_opponent	CL_players_opponent	EL_players_opponent	vicinity_opponent	age_coach_opponent	nationality_coach_opponent	foreigners_opponent	phase
1	group	1	Portugal	Greece	2004	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	group
1	group	2	Greece	Portugal	2004	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	group
2	group	1	Spain	Russia	2004	0	24461	5	4	6.5	17.56136898	25.5	10.8	3	784	1	79.851	5	5	1	61	1	1	0	4109	6	4	40	18.78408003	25.6	3.13	30	652	21	19.916	1	1	0	56	1	3	group
2	group	0	Russia	Spain	2004	0	4109	6	4	40	18.78408003	25.6	3.13	30	652	21	19.916	1	1	0	56	1	3	0	24461	5	4	6.5	17.56136898	25.5	10.8	3	784	1	79.851	5	5	1	61	1	1	group
3	group	1	Greece	Spain	2004	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	0	24461	5	4	6.5	17.56136898	25.5	10.8	3	784	1	79.851	5	5	1	61	1	1	group
3	group	1	Spain	Greece	2004	0	24461	5	4	6.5	17.56136898	25.5	10.8	3	784	1	79.851	5	5	1	61	1	1	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	group
4	group	0	Russia	Portugal	2004	0	4109	6	4	40	18.78408003	25.6	3.13	30	652	21	19.916	1	1	0	56	1	3	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	group
4	group	2	Portugal	Russia	2004	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	0	4109	6	4	40	18.78408003	25.6	3.13	30	652	21	19.916	1	1	0	56	1	3	group
5	group	0	Spain	Portugal	2004	0	24461	5	4	6.5	17.56136898	25.5	10.8	3	784	1	79.851	5	5	1	61	1	1	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	group
5	group	1	Portugal	Spain	2004	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	0	24461	5	4	6.5	17.56136898	25.5	10.8	3	784	1	79.851	5	5	1	61	1	1	group
6	group	2	Russia	Greece	2004	0	4109	6	4	40	18.78408003	25.6	3.13	30	652	21	19.916	1	1	0	56	1	3	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	group
6	group	1	Greece	Russia	2004	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	0	4109	6	4	40	18.78408003	25.6	3.13	30	652	21	19.916	1	1	0	56	1	3	group
7	group	0	Switzerland	Croatia	2004	0	49122	4	2	60	15.81213392	27.1	2.51	47	578	13	22.375	0	1	0	60	1	12	0	9237	2	1	45	15.30655517	27.4	2.88	25	655	23	17.375	1	0	0	71	0	21	group
7	group	0	Croatia	Switzerland	2004	0	9237	2	1	45	15.30655517	27.4	2.88	25	655	23	17.375	1	0	0	71	0	21	0	49122	4	2	60	15.81213392	27.1	2.51	47	578	13	22.375	0	1	0	60	1	12	group
8	group	2	France	England	2004	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	group
8	group	1	England	France	2004	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	group
9	group	3	England	Switzerland	2004	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	0	49122	4	2	60	15.81213392	27.1	2.51	47	578	13	22.375	0	1	0	60	1	12	group
9	group	0	Switzerland	England	2004	0	49122	4	2	60	15.81213392	27.1	2.51	47	578	13	22.375	0	1	0	60	1	12	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	group
10	group	2	Croatia	France	2004	0	9237	2	1	45	15.30655517	27.4	2.88	25	655	23	17.375	1	0	0	71	0	21	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	group
10	group	2	France	Croatia	2004	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	0	9237	2	1	45	15.30655517	27.4	2.88	25	655	23	17.375	1	0	0	71	0	21	group
11	group	2	Croatia	England	2004	0	9237	2	1	45	15.30655517	27.4	2.88	25	655	23	17.375	1	0	0	71	0	21	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	group
11	group	4	England	Croatia	2004	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	0	9237	2	1	45	15.30655517	27.4	2.88	25	655	23	17.375	1	0	0	71	0	21	group
12	group	1	Switzerland	France	2004	0	49122	4	2	60	15.81213392	27.1	2.51	47	578	13	22.375	0	1	0	60	1	12	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	group
12	group	3	France	Switzerland	2004	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	0	49122	4	2	60	15.81213392	27.1	2.51	47	578	13	22.375	0	1	0	60	1	12	group
13	group	0	Denmark	Italy	2004	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	0	29833	5	5	5	17.8740249	28	16.15	11	717	3	59.186	0	0	0	65	1	0	group
