Team	Score_04	Score_08	Score_12
Austria	-1.4	-1.4	-1.4
Bulgaria	-1.4	-0.6	-1
Croatia	-1	-0.4	-0.2
Czech Republic	0.333333333	1.6	0.466666667
Denmark	-0.2	-0.6	-0.4
England	-0.133333333	-0.2	-1
France	4.666666667	2.333333333	1
Germany	1.7	0.6	2.466666667
Greece 	-1.4	3.4	1.8
Ireland	-1.4	-1.4	-1.4
Italy	2.066666667	1.133333333	0.666666667
Latvia	-1.4	-0.2	-0.2
Netherlands	1.333333333	2	1
Poland	-1.4	-1.4	-0.6
Portugal	1.133333333	3.333333333	1.666666667
Romania	-0.6	-1	-1.4
Russia	-1.4	-0.6	1.133333333
Spain	-0.2	0	4
Sweden	-1.2	-0.6	-0.2
Switzerland	-1.4	-0.6	-1.4
Turkey	-1.4	-1	0.8
