Team	Population	GDP	Olympic_medals
Bulgarien	7185000	53046	220
Daenemark	5673000	330958	180
Deutschland	81459000	3635959	1682
England	54316600	2535761	807
Frankreich	66417000	2737361	781
Griechenland	10769000	241796	111
Irland	6378000	217884	28
Italien	60963000	2071955	663
Kroatien	4230000	58058	34
Lettland	1979000	30953	26
Niederlande	17003777	800007	376
Oesterreich	8608000	415366	304
Polen	38494000	516128	291
Portugal	10311000	219972	23
Rumaenien	19822000	189659	302
Russland	144031000	2118006	1869
Schweden	9858794	557938	627
Schweiz	8265000	650814	323
Spanien	46423064	1358687	133
Tschechien	10535000	198312	240
Tuerkei	78214000	827209	87
Ukraine 	42850000	177834	122
