season,matchday,match,home,guest,homegoals,guestgoals
2014/15,17,1,1. FSV Mainz 05,Bayern München,1,2
2014/15,17,2,FC Schalke 04,Hamburger SV,0,0
2014/15,17,3,Bayer 04 Leverkusen,Eintracht Frankfurt,1,1
2014/15,17,4,FC Augsburg,Bor. Mönchengladbach,2,1
2014/15,17,5,Werder Bremen,Borussia Dortmund,2,1
2014/15,17,6,VfB Stuttgart,SC Paderborn 07,0,0
2014/15,17,7,VfL Wolfsburg,1. FC Köln,2,1
2014/15,17,8,Hertha BSC,TSG Hoffenheim,0,5
2014/15,17,9,SC Freiburg,Hannover 96,2,2
2014/15,16,1,Bayern München,SC Freiburg,2,0
2014/15,16,2,Hannover 96,FC Augsburg,2,0
2014/15,16,3,Hamburger SV,VfB Stuttgart,0,1
2014/15,16,4,1. FC Köln,1. FSV Mainz 05,0,0
2014/15,16,5,Borussia Dortmund,VfL Wolfsburg,2,2
2014/15,16,6,Bor. Mönchengladbach,Werder Bremen,4,1
2014/15,16,7,TSG Hoffenheim,Bayer 04 Leverkusen,0,1
2014/15,16,8,Eintracht Frankfurt,Hertha BSC,4,4
2014/15,16,9,SC Paderborn 07,FC Schalke 04,1,2
2014/15,15,1,TSG Hoffenheim,Eintracht Frankfurt,3,2
2014/15,15,2,FC Schalke 04,1. FC Köln,1,2
2014/15,15,3,FC Augsburg,Bayern München,0,4
2014/15,15,4,Hertha BSC,Borussia Dortmund,1,0
2014/15,15,5,Werder Bremen,Hannover 96,3,3
2014/15,15,6,SC Freiburg,Hamburger SV,0,0
2014/15,15,7,1. FSV Mainz 05,VfB Stuttgart,1,1
2014/15,15,8,Bayer 04 Leverkusen,Bor. Mönchengladbach,1,1
2014/15,15,9,VfL Wolfsburg,SC Paderborn 07,1,1
2014/15,14,1,Borussia Dortmund,TSG Hoffenheim,1,0
2014/15,14,2,Bor. Mönchengladbach,Hertha BSC,3,2
2014/15,14,3,Hannover 96,VfL Wolfsburg,1,3
2014/15,14,4,VfB Stuttgart,FC Schalke 04,0,4
2014/15,14,5,1. FC Köln,FC Augsburg,1,2
2014/15,14,6,SC Paderborn 07,SC Freiburg,1,1
2014/15,14,7,Bayern München,Bayer 04 Leverkusen,1,0
2014/15,14,8,Hamburger SV,1. FSV Mainz 05,2,1
2014/15,14,9,Eintracht Frankfurt,Werder Bremen,5,2
2014/15,13,1,SC Freiburg,VfB Stuttgart,1,4
2014/15,13,2,FC Schalke 04,1. FSV Mainz 05,4,1
2014/15,13,3,Bayer 04 Leverkusen,1. FC Köln,5,1
2014/15,13,4,FC Augsburg,Hamburger SV,3,1
2014/15,13,5,Hertha BSC,Bayern München,0,1
2014/15,13,6,Werder Bremen,SC Paderborn 07,4,0
2014/15,13,7,TSG Hoffenheim,Hannover 96,4,3
2014/15,13,8,VfL Wolfsburg,Bor. Mönchengladbach,1,0
2014/15,13,9,Eintracht Frankfurt,Borussia Dortmund,2,0
2014/15,12,1,Bayern München,TSG Hoffenheim,4,0
2014/15,12,2,FC Schalke 04,VfL Wolfsburg,3,2
2014/15,12,3,Bor. Mönchengladbach,Eintracht Frankfurt,1,3
2014/15,12,4,1. FSV Mainz 05,SC Freiburg,2,2
2014/15,12,5,Hannover 96,Bayer 04 Leverkusen,1,3
2014/15,12,6,SC Paderborn 07,Borussia Dortmund,2,2
2014/15,12,7,1. FC Köln,Hertha BSC,1,2
2014/15,12,8,Hamburger SV,Werder Bremen,2,0
2014/15,12,9,VfB Stuttgart,FC Augsburg,0,1
2014/15,11,1,Hertha BSC,Hannover 96,0,2
2014/15,11,2,Bayer 04 Leverkusen,1. FSV Mainz 05,0,0
2014/15,11,3,FC Augsburg,SC Paderborn 07,3,0
2014/15,11,4,TSG Hoffenheim,1. FC Köln,3,4
2014/15,11,5,Eintracht Frankfurt,Bayern München,0,4
2014/15,11,6,SC Freiburg,FC Schalke 04,2,0
2014/15,11,7,Werder Bremen,VfB Stuttgart,2,0
2014/15,11,8,VfL Wolfsburg,Hamburger SV,2,0
2014/15,11,9,Borussia Dortmund,Bor. Mönchengladbach,1,0
2014/15,10,1,FC Schalke 04,FC Augsburg,1,0
2014/15,10,2,1. FSV Mainz 05,Werder Bremen,1,2
2014/15,10,3,Hannover 96,Eintracht Frankfurt,1,0
2014/15,10,4,VfB Stuttgart,VfL Wolfsburg,0,4
2014/15,10,5,Hamburger SV,Bayer 04 Leverkusen,1,0
2014/15,10,6,Bayern München,Borussia Dortmund,2,1
2014/15,10,7,Bor. Mönchengladbach,TSG Hoffenheim,3,1
2014/15,10,8,1. FC Köln,SC Freiburg,0,1
2014/15,10,9,SC Paderborn 07,Hertha BSC,3,1
2014/15,9,1,Werder Bremen,1. FC Köln,0,1
2014/15,9,2,Borussia Dortmund,Hannover 96,0,1
2014/15,9,3,FC Augsburg,SC Freiburg,2,0
2014/15,9,4,TSG Hoffenheim,SC Paderborn 07,1,0
2014/15,9,5,Hertha BSC,Hamburger SV,3,0
2014/15,9,6,Eintracht Frankfurt,VfB Stuttgart,4,5
2014/15,9,7,Bayer 04 Leverkusen,FC Schalke 04,1,0
2014/15,9,8,VfL Wolfsburg,1. FSV Mainz 05,3,0
2014/15,9,9,Bor. Mönchengladbach,Bayern München,0,0
2014/15,8,1,Bayern München,Werder Bremen,6,0
2014/15,8,2,1. FSV Mainz 05,FC Augsburg,2,1
2014/15,8,3,Hannover 96,Bor. Mönchengladbach,0,3
2014/15,8,4,SC Freiburg,VfL Wolfsburg,1,2
2014/15,8,5,VfB Stuttgart,Bayer 04 Leverkusen,3,3
2014/15,8,6,1. FC Köln,Borussia Dortmund,2,1
2014/15,8,7,FC Schalke 04,Hertha BSC,2,0
2014/15,8,8,Hamburger SV,TSG Hoffenheim,1,1
2014/15,8,9,SC Paderborn 07,Eintracht Frankfurt,3,1
2014/15,7,1,Hertha BSC,VfB Stuttgart,3,2
2014/15,7,2,Bayern München,Hannover 96,4,0
2014/15,7,3,Borussia Dortmund,Hamburger SV,0,1
2014/15,7,4,Bayer 04 Leverkusen,SC Paderborn 07,2,2
2014/15,7,5,TSG Hoffenheim,FC Schalke 04,2,1
2014/15,7,6,Werder Bremen,SC Freiburg,1,1
2014/15,7,7,Eintracht Frankfurt,1. FC Köln,3,2
2014/15,7,8,VfL Wolfsburg,FC Augsburg,1,0
2014/15,7,9,Bor. Mönchengladbach,1. FSV Mainz 05,1,1
2014/15,6,1,1. FSV Mainz 05,TSG Hoffenheim,0,0
2014/15,6,2,FC Schalke 04,Borussia Dortmund,2,1
2014/15,6,3,SC Freiburg,Bayer 04 Leverkusen,0,0
2014/15,6,4,VfB Stuttgart,Hannover 96,1,0
2014/15,6,5,1. FC Köln,Bayern München,0,2
2014/15,6,6,SC Paderborn 07,Bor. Mönchengladbach,1,2
2014/15,6,7,VfL Wolfsburg,Werder Bremen,2,1
2014/15,6,8,FC Augsburg,Hertha BSC,1,0
2014/15,6,9,Hamburger SV,Eintracht Frankfurt,1,2
2014/15,5,1,Bayern München,SC Paderborn 07,4,0
2014/15,5,2,TSG Hoffenheim,SC Freiburg,3,3
2014/15,5,3,Werder Bremen,FC Schalke 04,0,3
2014/15,5,4,Eintracht Frankfurt,1. FSV Mainz 05,2,2
2014/15,5,5,Borussia Dortmund,VfB Stuttgart,2,2
2014/15,5,6,Bayer 04 Leverkusen,FC Augsburg,1,0
2014/15,5,7,Bor. Mönchengladbach,Hamburger SV,1,0
2014/15,5,8,Hannover 96,1. FC Köln,1,0
2014/15,5,9,Hertha BSC,VfL Wolfsburg,1,0
2014/15,4,1,SC Freiburg,Hertha BSC,2,2
2014/15,4,2,FC Schalke 04,Eintracht Frankfurt,2,2
2014/15,4,3,FC Augsburg,Werder Bremen,4,2
2014/15,4,4,VfB Stuttgart,TSG Hoffenheim,0,2
2014/15,4,5,Hamburger SV,Bayern München,0,0
2014/15,4,6,SC Paderborn 07,Hannover 96,2,0
2014/15,4,7,1. FSV Mainz 05,Borussia Dortmund,2,0
2014/15,4,8,VfL Wolfsburg,Bayer 04 Leverkusen,4,1
2014/15,4,9,1. FC Köln,Bor. Mönchengladbach,0,0
2014/15,3,1,Bayer 04 Leverkusen,Werder Bremen,3,3
2014/15,3,2,Bayern München,VfB Stuttgart,2,0
2014/15,3,3,Borussia Dortmund,SC Freiburg,3,1
2014/15,3,4,TSG Hoffenheim,VfL Wolfsburg,1,1
2014/15,3,5,Hertha BSC,1. FSV Mainz 05,1,3
2014/15,3,6,SC Paderborn 07,1. FC Köln,0,0
2014/15,3,7,Bor. Mönchengladbach,FC Schalke 04,4,1
2014/15,3,8,Eintracht Frankfurt,FC Augsburg,0,1
2014/15,3,9,Hannover 96,Hamburger SV,2,0
2014/15,2,1,FC Augsburg,Borussia Dortmund,2,3
2014/15,2,2,Bayer 04 Leverkusen,Hertha BSC,4,2
2014/15,2,3,VfL Wolfsburg,Eintracht Frankfurt,2,2
2014/15,2,4,Werder Bremen,TSG Hoffenheim,1,1
2014/15,2,5,VfB Stuttgart,1. FC Köln,0,2
2014/15,2,6,Hamburger SV,SC Paderborn 07,0,3
